validation_fold,well,split,cut_idx,selected_method,selected_reason,router_rmse,baseline_rmse,delta_rmse_vs_baseline,eval_rows
0,aaeffccb,frac_0.50,2293,last_value,fallback_last_value,5.60428258150586,5.60428258150586,0.0,2293
0,ab112491,native_prefix,1993,last_value,fallback_last_value,28.204036984751497,28.204036984751497,0.0,5185
0,ab112491,frac_0.50,3589,last_value,fallback_last_value,10.693436193576087,10.693436193576087,0.0,3589
0,ab94878e,native_prefix,1648,last_value,fallback_last_value,6.090270250340663,6.090270250340663,0.0,6004
0,ab94878e,frac_0.50,3826,last_value,fallback_last_value,4.1079920767021045,4.1079920767021045,0.0,3826
0,ac6f01d5,native_prefix,1725,last_value,fallback_last_value,15.962529701035821,15.962529701035821,0.0,5004
0,ac6f01d5,frac_0.50,3364,last_value,fallback_last_value,4.406350314107763,4.406350314107763,0.0,3365
0,ae069086,native_prefix,1971,last_value,fallback_last_value,14.585517424947831,14.585517424947831,0.0,4770
0,ae069086,frac_0.50,3370,last_value,fallback_last_value,14.524321432760754,14.524321432760754,0.0,3371
0,b32e4903,native_prefix,1650,last_value,fallback_last_value,5.863958705383137,5.863958705383137,0.0,5770
0,b32e4903,frac_0.50,3710,last_value,fallback_last_value,4.967945029558158,4.967945029558158,0.0,3710
0,b56bc0aa,native_prefix,1829,last_value,fallback_last_value,8.788528154094545,8.788528154094545,0.0,5602
0,b56bc0aa,frac_0.50,3716,last_value,fallback_last_value,6.331221191569768,6.331221191569768,0.0,3715
0,b7974e66,native_prefix,1612,last_value,fallback_last_value,6.972963992749996,6.972963992749996,0.0,5558
0,b7974e66,frac_0.50,3585,last_value,fallback_last_value,7.726560678356032,7.726560678356032,0.0,3585
0,b7cdcecb,native_prefix,1452,last_value,fallback_last_value,9.274351431311539,9.274351431311539,0.0,6168
0,b7cdcecb,frac_0.50,3810,last_value,fallback_last_value,8.258401121365246,8.258401121365246,0.0,3810
0,be35c8f2,native_prefix,1672,last_value,fallback_last_value,4.674735185385168,4.674735185385168,0.0,4226
0,be35c8f2,frac_0.50,2949,last_value,fallback_last_value,6.386998386510152,6.386998386510152,0.0,2949
0,bf39bc20,native_prefix,1744,last_value,fallback_last_value,8.401808199266226,8.401808199266226,0.0,3303
0,bf39bc20,frac_0.50,2524,last_value,fallback_last_value,10.075209162841096,10.075209162841096,0.0,2523
0,c2c6fc71,native_prefix,1721,last_value,fallback_last_value,11.767462410523247,11.767462410523247,0.0,7119
0,c2c6fc71,frac_0.50,4420,last_value,fallback_last_value,13.02594088454347,13.02594088454347,0.0,4420
0,c6797dd7,native_prefix,1617,last_value,fallback_last_value,5.82900989050451,5.82900989050451,0.0,4664
0,c6797dd7,frac_0.50,3140,last_value,fallback_last_value,10.082224356676132,10.082224356676132,0.0,3141
0,c84c65be,native_prefix,1747,last_value,fallback_last_value,9.738388019795911,9.738388019795911,0.0,8496
0,c84c65be,frac_0.50,5122,last_value,fallback_last_value,11.351236068428681,11.351236068428681,0.0,5121
0,c8d9680c,native_prefix,1460,last_value,fallback_last_value,42.77043899776709,42.77043899776709,0.0,6281
0,c8d9680c,frac_0.50,3870,last_value,fallback_last_value,5.516514227051261,5.516514227051261,0.0,3871
0,c908edd0,native_prefix,1458,last_value,fallback_last_value,8.765028360555872,8.765028360555872,0.0,5293
0,c908edd0,frac_0.50,3376,last_value,fallback_last_value,11.753658039253759,11.753658039253759,0.0,3375
0,c9e980e8,native_prefix,1903,last_value,fallback_last_value,9.741734918381256,9.741734918381256,0.0,4359
0,c9e980e8,frac_0.50,3131,last_value,fallback_last_value,10.939024932067763,10.939024932067763,0.0,3131
0,cad13e8f,native_prefix,2018,last_value,fallback_last_value,17.022296131058066,17.022296131058066,0.0,4848
0,cad13e8f,frac_0.50,3433,last_value,fallback_last_value,3.925372347041216,3.925372347041216,0.0,3433
0,cbe51de1,native_prefix,1399,last_value,fallback_last_value,15.022202061672788,15.022202061672788,0.0,3963
0,cbe51de1,frac_0.50,2681,last_value,fallback_last_value,8.275741325082421,8.275741325082421,0.0,2681
0,ccedb12b,native_prefix,2026,last_value,fallback_last_value,10.609060511646556,10.609060511646556,0.0,4401
0,ccedb12b,frac_0.50,3214,last_value,fallback_last_value,13.544386410497005,13.544386410497005,0.0,3213
0,cda7eb37,native_prefix,1647,last_value,fallback_last_value,10.042623008757838,10.042623008757838,0.0,5973
0,cda7eb37,frac_0.50,3810,last_value,fallback_last_value,16.064625633527758,16.064625633527758,0.0,3810
0,d011f41b,native_prefix,1639,last_value,fallback_last_value,10.86185548345431,10.86185548345431,0.0,2267
0,d011f41b,frac_0.50,1953,last_value,fallback_last_value,9.008050771362132,9.008050771362132,0.0,1953
0,d273674e,native_prefix,1839,last_value,fallback_last_value,3.400366201632784,3.400366201632784,0.0,3899
0,d273674e,frac_0.50,2869,last_value,fallback_last_value,4.358265517378367,4.358265517378367,0.0,2869
0,d3df146b,native_prefix,1465,last_value,fallback_last_value,11.69933929625434,11.69933929625434,0.0,5787
0,d3df146b,frac_0.50,3626,last_value,fallback_last_value,8.154754632169164,8.154754632169164,0.0,3626
0,d50c649a,native_prefix,1675,last_value,fallback_last_value,6.81996221614117,6.81996221614117,0.0,4873
0,d50c649a,frac_0.50,3274,last_value,fallback_last_value,4.196479798600305,4.196479798600305,0.0,3274
0,d7eb0be8,native_prefix,1807,last_value,fallback_last_value,32.82610912419109,32.82610912419109,0.0,5401
0,d7eb0be8,frac_0.50,3604,last_value,fallback_last_value,26.819565513625083,26.819565513625083,0.0,3604
0,d84b621b,native_prefix,1752,last_value,fallback_last_value,21.82037371732548,21.82037371732548,0.0,3994
0,d84b621b,frac_0.50,2873,last_value,fallback_last_value,4.734656130476266,4.734656130476266,0.0,2873
0,dafc88c3,native_prefix,1615,last_value,fallback_last_value,6.877339398362787,6.877339398362787,0.0,5572
0,dafc88c3,frac_0.50,3594,last_value,fallback_last_value,12.15761280414278,12.15761280414278,0.0,3593
